,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,
120,andaman-&-nicobar-islands,2021,1,744101,55726,190830957.1,"insert into top_trans values (120,'andaman-&-nicobar-islands',2021,1,744101,55726,190830957.060618);"
121,andaman-&-nicobar-islands,2021,1,744103,47328,158404100.8,"insert into top_trans values (121,'andaman-&-nicobar-islands',2021,1,744103,47328,158404100.785498);"
122,andaman-&-nicobar-islands,2021,1,744105,35467,111571687.4,"insert into top_trans values (122,'andaman-&-nicobar-islands',2021,1,744105,35467,111571687.431951);"
123,andaman-&-nicobar-islands,2021,1,744102,23957,80750048.82,"insert into top_trans values (123,'andaman-&-nicobar-islands',2021,1,744102,23957,80750048.8238959);"
124,andaman-&-nicobar-islands,2021,1,744211,10648,34956327.94,"insert into top_trans values (124,'andaman-&-nicobar-islands',2021,1,744211,10648,34956327.9410542);"
125,andaman-&-nicobar-islands,2021,1,744202,10597,28127629.88,"insert into top_trans values (125,'andaman-&-nicobar-islands',2021,1,744202,10597,28127629.8779615);"
126,andaman-&-nicobar-islands,2021,1,744107,8848,19627951.47,"insert into top_trans values (126,'andaman-&-nicobar-islands',2021,1,744107,8848,19627951.4699691);"
127,andaman-&-nicobar-islands,2021,1,744104,8799,27854306.52,"insert into top_trans values (127,'andaman-&-nicobar-islands',2021,1,744104,8799,27854306.5194963);"
128,andaman-&-nicobar-islands,2021,1,744112,7113,21084790.05,"insert into top_trans values (128,'andaman-&-nicobar-islands',2021,1,744112,7113,21084790.0528014);"
129,andaman-&-nicobar-islands,2021,1,744301,5630,22671937.31,"insert into top_trans values (129,'andaman-&-nicobar-islands',2021,1,744301,5630,22671937.3131475);"
130,andaman-&-nicobar-islands,2021,2,744101,73334,227585492.7,"insert into top_trans values (130,'andaman-&-nicobar-islands',2021,2,744101,73334,227585492.741459);"
131,andaman-&-nicobar-islands,2021,2,744103,66321,174752815.2,"insert into top_trans values (131,'andaman-&-nicobar-islands',2021,2,744103,66321,174752815.168852);"
132,andaman-&-nicobar-islands,2021,2,744105,52645,134835744.2,"insert into top_trans values (132,'andaman-&-nicobar-islands',2021,2,744105,52645,134835744.220492);"
133,andaman-&-nicobar-islands,2021,2,744102,34289,100890426.8,"insert into top_trans values (133,'andaman-&-nicobar-islands',2021,2,744102,34289,100890426.76234);"
134,andaman-&-nicobar-islands,2021,2,744202,16476,40647907.97,"insert into top_trans values (134,'andaman-&-nicobar-islands',2021,2,744202,16476,40647907.9696077);"
135,andaman-&-nicobar-islands,2021,2,744107,14524,24690581.54,"insert into top_trans values (135,'andaman-&-nicobar-islands',2021,2,744107,14524,24690581.5390947);"
